ID;Frame;Framerate
;0;0,3333333
;1;0,0152075
;2;0,0030122
;3;0,002497
;4;0,0014986
;5;0,0013946
;6;0,0014935
;7;0,0017564
;8;0,0014958
;9;0,0013325
;10;0,0012866
;11;0,0017094
;12;0,0014751
;13;0,0013792
;14;0,0017329
;15;0,001472
;16;0,001476
;17;0,0014337
;18;0,0013987
;19;0,0013402
;20;0,0016556
;21;0,0014832
;22;0,0013517
;23;0,0013641
;24;0,0013415
;25;0,0019037
;26;0,0018198
;27;0,0013771
;28;0,0014994
;29;0,0016756
;30;0,0019726
;31;0,0014368
;32;0,0014287
;33;0,0016909
;34;0,0016044
;35;0,0017182
;36;0,0015065
;37;0,0014669
;38;0,001756
;39;0,0013983
;40;0,0013701
;41;0,0013421
;42;0,001412
;43;0,001655
;44;0,0014084
;45;0,0015187
;46;0,0015753
;47;0,0021483
;48;0,0017486
;49;0,0013854
;50;0,0013908
;51;0,0012993
;52;0,0017218
;53;0,0014684
;54;0,0014204
;55;0,0014369
;56;0,0013729
;57;0,0043053
;58;0,0015701
;59;0,0014688
;60;0,0020064
;61;0,0015476
;62;0,0014057
;63;0,0014972
;64;0,0016907
;65;0,001568
;66;0,002027
;67;0,001561
;68;0,0016326
;69;0,001653
;70;0,0014967
;71;0,0014841
;72;0,0017175
;73;0,0017982
;74;0,0014907
;75;0,0014254
;76;0,002321
;77;0,0020516
;78;0,0015062
;79;0,001495
;80;0,001634
;81;0,0015456
;82;0,0015005
;83;0,001541
;84;0,0016382
;85;0,0017833
;86;0,0021035
;87;0,0015537
;88;0,001421
;89;0,0018427
;90;0,0013971
;91;0,0013464
;92;0,0042274
;93;0,0017082
;94;0,0014883
;95;0,0019963
;96;0,0018415
;97;0,0015601
;98;0,0014713
;99;0,001454
;100;0,0014265
;101;0,0017361
;102;0,00148
;103;0,0014876
;104;0,0014299
;105;0,0022272
;106;0,0018768
;107;0,0014563
;108;0,001435
;109;0,0013347
;110;0,0017333
;111;0,001481
;112;0,0013871
;113;0,0013178
;114;0,0015819
;115;0,0018759
;116;0,0018159
;117;0,0014323
;118;0,0014044
;119;0,0014899
;120;0,0014883
;121;0,0013933
;122;0,0014201
;123;0,0017446
;124;0,0018849
;125;0,0014853
;126;0,002095
;127;0,0022975
;128;0,0014922
;129;0,0016121
;130;0,0015729
;131;0,0014941
;132;0,0019011
;133;0,0015996
;134;0,0013687
;135;0,0014549
;136;0,0018997
;137;0,0016986
;138;0,0015586
;139;0,0015427
;140;0,0023274
;141;0,0015925
;142;0,0015183
;143;0,0014928
;144;0,0017786
;145;0,0015137
;146;0,0020776
;147;0,0016398
;148;0,0017858
;149;0,0016961
;150;0,0014805
;151;0,0014478
;152;0,0017174
;153;0,0019746
;154;0,0014894
;155;0,0014865
;156;0,002798
;157;0,0017648
;158;0,0014174
;159;0,0015524
;160;0,0014228
;161;0,0019739
;162;0,0016216
;163;0,0014651
;164;0,0017142
;165;0,0029138
;166;0,0018053
;167;0,0015071
;168;0,001453
;169;0,0015724
;170;0,0018503
;171;0,0015143
;172;0,0014141
;173;0,0013974
;174;0,0018487
;175;0,001982
;176;0,0016234
;177;0,0014068
;178;0,0018853
;179;0,0015562
;180;0,0015081
;181;0,0015028
;182;0,0020038
;183;0,0017067
;184;0,0014694
;185;0,0019719
;186;0,001935
;187;0,0014891
;188;0,0014767
;189;0,001464
;190;0,0017376
;191;0,0018949
;192;0,0014114
;193;0,001494
;194;0,0015962
;195;0,0019932
;196;0,0016222
;197;0,0015156
;198;0,0014236
;199;0,0025366
;200;0,001631
;201;0,0017633
;202;0,001506
;203;0,0019666
;204;0,0015382
;205;0,0020009
;206;0,0014987
;207;0,0019063
;208;0,0016299
;209;0,0014416
;210;0,0014182
;211;0,003025
;212;0,0015698
;213;0,0014439
;214;0,0019496
;215;0,001775
;216;0,0033905
;217;0,0015406
;218;0,0017457
;219;0,0015799
;220;0,0013795
;221;0,0014312
;222;0,0023996
;223;0,0021234
;224;0,0015048
;225;0,0014378
;226;0,0019265
;227;0,0019307
;228;0,0015945
;229;0,0015015
;230;0,0016736
;231;0,00153
;232;0,0015688
;233;0,0020645
;234;0,0016385
;235;0,0015875
;236;0,001629
;237;0,0014795
;238;0,0016291
;239;0,0018933
;240;0,0016002
;241;0,0015217
;242;0,0022755
;243;0,0025604
;244;0,0017057
;245;0,0015878
;246;0,0018314
;247;0,0014881
;248;0,001574
;249;0,0014333
;250;0,0017541
